Clusters,Images
23,001.tif
19,002.tif
10,003.tif
3,004.tif
10,005.tif
23,006.tif
23,007.tif
13,008.tif
1,009.tif
1,010.tif
25,011.tif
3,012.tif
23,013.tif
3,014.tif
3,015.tif
25,016.tif
25,017.tif
16,018.tif
0,019.tif
25,020.tif
0,021.tif
21,022.tif
21,023.tif
0,024.tif
21,026.tif
18,027.tif
6,028.tif
4,029.tif
15,031.tif
15,034.tif
24,035.tif
24,036.tif
3,037.tif
19,039.tif
12,041.tif
0,046.tif
22,047.tif
12,049.tif
14,050.tif
9,051.tif
9,052.tif
2,053.tif
2,054.tif
2,055.tif
0,056.tif
16,057.tif
12,060.tif
6,063.tif
17,064.tif
17,065.tif
16,066.tif
20,067.tif
5,071.tif
16,076.tif
16,077.tif
16,078.tif
25,079.tif
16,081.tif
1,082.tif
13,086.tif
2,088.tif
10,090.tif
2,091.tif
4,092.tif
17,093.tif
18,095.tif
15,096.tif
23,097.tif
23,099.tif
13,105.tif
9,106.tif
9,107.tif
4,109.tif
11,111.tif
8,112.tif
8,113.tif
8,114.tif
7,118.tif
6,120.tif
7,122.tif
7,123.tif
21,124.tif
8,126.tif
4,127.tif
20,128.tif
20,129.tif
10,135.tif
11,138.tif
10,141.tif
13,142.tif
14,144.tif
19,145.tif
14,146.tif
5,150.tif
5,151.tif
5,152.tif
1,155.tif
10,157.tif
