Clusters,Images
9,001.tif
14,002.tif
27,003.tif
23,004.tif
27,005.tif
18,006.tif
18,007.tif
11,008.tif
4,009.tif
4,010.tif
20,011.tif
2,012.tif
18,013.tif
2,014.tif
2,015.tif
20,016.tif
20,017.tif
24,018.tif
12,019.tif
20,020.tif
12,021.tif
16,022.tif
10,023.tif
12,024.tif
10,026.tif
25,027.tif
16,028.tif
11,029.tif
7,031.tif
7,034.tif
26,035.tif
26,036.tif
2,037.tif
14,039.tif
9,041.tif
12,046.tif
22,047.tif
9,049.tif
23,050.tif
8,051.tif
8,052.tif
1,053.tif
1,054.tif
1,055.tif
12,056.tif
12,057.tif
9,060.tif
0,063.tif
17,064.tif
17,065.tif
0,066.tif
11,067.tif
5,071.tif
24,076.tif
24,077.tif
24,078.tif
20,079.tif
24,081.tif
4,082.tif
19,086.tif
1,088.tif
27,090.tif
1,091.tif
11,092.tif
17,093.tif
15,095.tif
7,096.tif
18,097.tif
18,099.tif
19,105.tif
8,106.tif
8,107.tif
11,109.tif
21,111.tif
10,112.tif
10,113.tif
10,114.tif
6,118.tif
0,120.tif
6,122.tif
6,123.tif
10,124.tif
16,126.tif
11,127.tif
3,128.tif
3,129.tif
27,135.tif
21,138.tif
27,141.tif
19,142.tif
23,144.tif
14,145.tif
23,146.tif
13,150.tif
13,151.tif
13,152.tif
4,155.tif
18,157.tif
